z_um,width_um
1.490773547697329837e+00,3.707321987085875244e-03
1.494435947046075963e+00,3.662399348746047441e-03
1.498840282734951845e+00,4.404335688875955952e-03
1.502798067515596303e+00,3.957784780644510621e-03
1.506453194714771016e+00,3.655127199174674785e-03
1.510185910391782071e+00,3.732715677011134384e-03
1.514799010279358482e+00,4.613099887576375090e-03
1.518483990396147787e+00,3.684980116789283999e-03
1.522148723551881799e+00,3.664733155734014106e-03
1.526703605461226410e+00,4.554881909344686564e-03
1.530506309975109502e+00,3.802704513883066375e-03
1.534163430358172375e+00,3.657120383062907598e-03
1.537940549680602009e+00,3.777119322429744585e-03
1.542517378226694991e+00,4.576828546092969255e-03
1.546189598774234897e+00,3.672220547539881402e-03
1.549871040670332434e+00,3.681441896097474575e-03
1.554473400145201190e+00,4.602359474868701096e-03
1.558217410331373287e+00,3.744010186172183879e-03
1.561872810025636049e+00,3.655399694262807548e-03
1.565743388226042976e+00,3.870578200406875075e-03
1.570234213571130244e+00,4.490825345087321070e-03
1.573897233918531757e+00,3.663020347401405290e-03
1.577597002332686627e+00,3.699768414154759079e-03
1.582215558476250949e+00,4.618556143564417522e-03
1.585931262301435440e+00,3.715703825184541679e-03
1.589550272824233446e+00,3.619010522798084099e-03
1.593425056475417545e+00,3.874783651184186568e-03
1.597977135237530044e+00,4.552078762112593720e-03
1.601591672758299501e+00,3.614537520769417304e-03
1.605252420060744756e+00,3.660747302445171558e-03
1.610004025923552851e+00,4.751605862808001152e-03
1.613635881437898378e+00,3.631855514345498290e-03
1.617257060426716464e+00,3.621178988818071331e-03
1.621976237935906617e+00,4.719177509190046645e-03
1.625683502834739835e+00,3.707264898833229246e-03
1.629293581350774955e+00,3.610078516035088430e-03
1.632981078953917864e+00,3.687497603142930215e-03
1.637715095402450194e+00,4.734016448532225863e-03
1.641339456830830601e+00,3.624361428380496429e-03
1.644967065885232449e+00,3.627609054401789018e-03
1.649711844699624841e+00,4.744778814392283488e-03
1.653383781886712756e+00,3.671937187087826685e-03
1.656998566230609704e+00,3.614784343896979696e-03
1.660732554917195847e+00,3.733988686586226825e-03
1.665422640936334187e+00,4.690086019138397025e-03
1.669039367581434341e+00,3.616726645100194412e-03
1.672681374471624238e+00,3.642006890189986978e-03
1.677436996431646898e+00,4.755621960022708705e-03
1.681085664347799158e+00,3.648667916152359674e-03
1.684706419966053748e+00,3.620755618254516400e-03
1.689338361947899658e+00,4.631941981846011275e-03
1.693131488091705661e+00,3.793126143805893372e-03
1.696740320780341094e+00,3.608832688635332971e-03
1.700401455239742177e+00,3.661134459401009771e-03
1.705154476107239692e+00,4.753020867497614703e-03
1.708786878308436119e+00,3.632402201196410947e-03
1.712408674201978398e+00,3.621795893542328806e-03
1.717125040073003595e+00,4.716365871025285893e-03
1.720833463359231263e+00,3.708423286227612980e-03
1.724442738665717956e+00,3.609275306486661901e-03
1.728129135724150833e+00,3.686397058432813820e-03
1.732865586214638709e+00,4.736450490487798502e-03
1.736490403711438146e+00,3.624817496799534466e-03
1.740118004241317573e+00,3.627600529879339546e-03
1.744862642581460177e+00,4.744638340142669913e-03
1.748535513989838863e+00,3.672871408378780740e-03
1.752147773906706396e+00,3.612259916867478250e-03
1.755878702947399228e+00,3.730929040692888745e-03
1.760573118624525257e+00,4.694415677126107314e-03
1.764191068388173189e+00,3.617949763647872879e-03
1.767831453881798742e+00,3.640385493625464177e-03
1.772586883916039913e+00,4.755430034241172124e-03
1.776236497743570286e+00,3.649613827530264702e-03
1.779851249031694671e+00,3.614751288124370531e-03
1.784498522301163570e+00,4.647273269468847785e-03
1.788279993674937174e+00,3.781471373773540989e-03
1.791892752507141529e+00,3.612758832204263169e-03
1.795549494476170738e+00,3.656741969029246413e-03
1.800303077998218981e+00,4.753583522048254045e-03
1.803938749887512349e+00,3.635671889293341699e-03
1.807558797903652925e+00,3.620048016140669372e-03
1.812271635378889245e+00,4.712837475236298333e-03
1.815982982298692594e+00,3.711346919803432554e-03
1.819594838440636186e+00,3.611856141943492211e-03
1.823279179492745872e+00,3.684341052109615065e-03
1.828015465586036337e+00,4.736286093290538630e-03
1.831639938973913750e+00,3.624473387877318823e-03
1.835267004965164706e+00,3.627065991250853598e-03
1.840010917984286731e+00,4.743913019121958133e-03
1.843685742261714111e+00,3.674824277427322147e-03
1.847298607605826204e+00,3.612865344112101054e-03
1.851026607447137762e+00,3.727999841311581668e-03
1.855724004324171617e+00,4.697396877033952790e-03
1.859342221258098116e+00,3.618216933926565477e-03
1.862981427522734990e+00,3.639206264636815364e-03
1.867737140983301458e+00,4.755713460566472067e-03
1.871388083766865496e+00,3.650942783563992239e-03
1.875001334596372526e+00,3.613250829507117651e-03
1.878832702784275943e+00,3.831368187903316531e-03
