z_um,fw_amp,sh_amp,th_amp
8.087621240615844309e-01,3.159974828325598839e+00,1.206610299035880962e-01,1.454880121623914759e-05
8.127266442775726851e-01,3.159952098384095187e+00,1.212548378580730613e-01,1.464342764718251302e-05
8.166911644935608283e-01,3.159929257022022764e+00,1.218486372484283847e-01,1.474507324721799887e-05
8.206556847095489715e-01,3.159906304243529807e+00,1.224424280389441594e-01,1.477819871839782938e-05
8.246202049255371147e-01,3.159883240052516751e+00,1.230362101800141356e-01,1.483964262519599507e-05
8.285847251415252579e-01,3.159860064453015926e+00,1.236299836277565539e-01,1.495500892927608749e-05
8.325492453575134011e-01,3.159836777449289258e+00,1.242237483492343586e-01,1.501417961754849982e-05
8.365137655735015443e-01,3.159813379045398829e+00,1.248175043001377021e-01,1.504843635915802084e-05
8.404782857894897985e-01,3.159789869245324567e+00,1.254112514310940785e-01,1.515179618096986336e-05
8.444428060054779417e-01,3.159766248053342608e+00,1.260049897067255231e-01,1.524430600085106869e-05
8.484073262214660849e-01,3.159742515473705993e+00,1.265987190894926340e-01,1.527336593231071608e-05
8.523718464374542281e-01,3.159718671510431509e+00,1.271924395289846521e-01,1.534601139312136907e-05
8.563363666534423713e-01,3.159694716167730455e+00,1.277861509836085152e-01,1.545959424947391405e-05
8.603008868694305145e-01,3.159670649450002866e+00,1.283798534200930597e-01,1.550845176885880098e-05
8.642654070854186577e-01,3.159646471361402753e+00,1.289735467920563872e-01,1.554976342258601493e-05
8.682299273014069119e-01,3.159622181906070804e+00,1.295672310515749437e-01,1.565974641708331024e-05
8.721944475173950551e-01,3.159597781088453683e+00,1.301609061646386567e-01,1.574173710167798402e-05
8.761589677333831983e-01,3.159573268912899913e+00,1.307545720915970489e-01,1.576954895458148630e-05
8.801234879493713414e-01,3.159548645383552845e+00,1.313482287818070748e-01,1.585332481051064346e-05
8.840880081653594846e-01,3.159523910504807187e+00,1.319418761959517961e-01,1.596234321272038383e-05
8.880525283813476278e-01,3.159499064281185987e+00,1.325355142998616287e-01,1.600238913174733288e-05
8.920170485973357710e-01,3.159474106716940511e+00,1.331291430453882263e-01,1.605276647605598613e-05
8.959815688133240252e-01,3.159449037816382866e+00,1.337227623864647441e-01,1.616682324774396947e-05
8.999460890293121684e-01,3.159423857584118700e+00,1.343163722899340662e-01,1.623760536873076091e-05
9.039106092453003116e-01,3.159398566024588018e+00,1.349099727138946547e-01,1.626707053861699588e-05
9.078751294612884548e-01,3.159373163142070950e+00,1.355035636080596517e-01,1.636116450876954357e-05
9.118396496772765980e-01,3.159347648941146502e+00,1.360971449352257889e-01,1.646313977765136215e-05
9.158041698932647412e-01,3.159322023426450077e+00,1.366907166598218815e-01,1.649645856784296856e-05
9.197686901092528844e-01,3.159296286602334636e+00,1.372842787323571012e-01,1.655730905127951301e-05
9.237332103252411386e-01,3.159270438473293474e+00,1.378778311089069175e-01,1.667262073975341060e-05
9.276977305412292818e-01,3.159244479044080123e+00,1.384713737565972380e-01,1.673224427916458260e-05
9.316622507572174250e-01,3.159218408319221183e+00,1.390649066312853732e-01,1.676615534346606885e-05
9.356267709732055682e-01,3.159192226303149553e+00,1.396584296836073380e-01,1.686906865648374454e-05
9.395912911891937114e-01,3.159165933000622317e+00,1.402519428781719146e-01,1.696198761197287031e-05
9.435558114051818546e-01,3.159139528416375686e+00,1.408454461775972555e-01,1.699110954577480565e-05
9.475203316211699978e-01,3.159113012554875422e+00,1.414389395315641673e-01,1.706314313337919190e-05
9.514848518371582520e-01,3.159086385420801335e+00,1.420324228984354564e-01,1.717680846940931484e-05
9.554493720531463952e-01,3.159059647019041073e+00,1.426258962450321632e-01,1.722605985713312614e-05
9.594138922691345384e-01,3.159032797354210054e+00,1.432193595251309848e-01,1.726691455645659786e-05
9.633784124851226816e-01,3.159005836430904157e+00,1.438128126907968485e-01,1.737656233263697549e-05
9.673429327011108247e-01,3.158978764254054106e+00,1.444062557080303399e-01,1.745900967807943030e-05
9.713074529170989679e-01,3.158951580828485373e+00,1.449996885373512068e-01,1.748674382482326642e-05
9.752719731330871111e-01,3.158924286158789396e+00,1.455931111281824342e-01,1.756992560145496609e-05
9.792364933490753653e-01,3.158896880249833838e+00,1.461865234411684478e-01,1.767915287828773839e-05
9.832010135650635085e-01,3.158869363106629358e+00,1.467799254422596233e-01,1.771950365855696975e-05
9.871655337810516517e-01,3.158841734733883300e+00,1.473733170834513329e-01,1.776933817806661031e-05
9.911300539970397949e-01,3.158813995136364738e+00,1.479666983186499751e-01,1.788318862553979702e-05
9.950945742130279381e-01,3.158786144319168265e+00,1.485600691147369867e-01,1.795444002178498081e-05
9.990590944290160813e-01,3.158758182287203287e+00,1.491534294299865226e-01,1.798368824536961119e-05
1.003023614645004224e+00,3.158730109045199352e+00,1.497467792141524145e-01,1.807724095414988885e-05
1.006988134860992368e+00,3.158701924598213306e+00,1.503401184300049154e-01,1.817953229776872890e-05
1.010952655076980511e+00,3.158673628951362833e+00,1.509334470421171137e-01,1.821304260203778964e-05
1.014917175292968654e+00,3.158645222109454309e+00,1.515267650011218326e-01,1.827329548557042889e-05
