wavelength_um,target_amp,holographic_amp,periodic_amp,phase_rad
1.063306306306306181e+00,2.578782837874721526e-05,1.454454896492455619e-04,1.309977440302637595e-03,-3.739505658062327154e+00
1.063308308308308359e+00,2.852916150938378256e-05,1.436252070177398185e-04,1.613129627974278519e-03,-3.781810586005871500e+00
1.063310310310310314e+00,3.120947692489830182e-05,1.415064690316142847e-04,1.917524894887710470e-03,-3.823750097512065516e+00
1.063312312312312269e+00,3.382024979856956338e-05,1.390957744327142955e-04,2.223077429217270185e-03,-3.865250112774826885e+00
1.063314314314314224e+00,3.635311051867059974e-05,1.364005655079261129e-04,2.529700619881732927e-03,-3.906227747581647147e+00
1.063316316316316179e+00,3.879986653156282541e-05,1.334292532132184180e-04,2.837307071507067045e-03,-3.946589283456473307e+00
1.063318318318318356e+00,4.115252359463311319e-05,1.301912514885554724e-04,3.145808627501174223e-03,-3.986227700308348609e+00
1.063320320320320311e+00,4.340330630019954356e-05,1.266970240050529063e-04,3.455116389734671015e-03,-4.025019643910479061e+00
1.063322322322322266e+00,4.554467780127893279e-05,1.229581475707424614e-04,3.765140737226102801e-03,-4.062821663694877294e+00
1.063324324324324222e+00,4.756935873918030720e-05,1.189873979194905210e-04,4.075791347020631464e-03,-4.099465506275806526e+00
1.063326326326326177e+00,4.947034526302290298e-05,1.147988656937361864e-04,4.386977215712771667e-03,-4.134752181487042932e+00
1.063328328328328354e+00,5.124092609719497452e-05,1.104081133501330219e-04,4.698606681203945819e-03,-4.168444428321779860e+00
1.063330330330330309e+00,5.287469854069995652e-05,1.058323878875692855e-04,5.010587439697506210e-03,-4.200257091388715835e+00
1.063332332332332264e+00,5.436558350268877216e-05,1.010909098291302988e-04,5.322826573683012673e-03,-4.229844770927003950e+00
1.063334334334334219e+00,5.570783932245677839e-05,9.620526768301531186e-05,5.635230568266164780e-03,-4.256785924884217920e+00
1.063336336336336174e+00,5.689607447247826565e-05,9.119995823944015382e-05,5.947705334198830247e-03,-4.280562406141445564e+00
1.063338338338338351e+00,5.792525905601686415e-05,8.610312974160030160e-05,6.260156234645854190e-03,-4.300533247094754152e+00
1.063340340340340306e+00,5.879073499206990321e-05,8.094760751700533956e-05,6.572488099029594015e-03,-4.315901495987837677e+00
1.063342342342342262e+00,5.948822500516748286e-05,7.577230962059853397e-05,6.884605252146041264e-03,-4.325673381844294063e+00
1.063344344344344217e+00,6.001384019274787728e-05,7.062419322575125638e-05,7.196411535727052777e-03,-4.328610725466678133e+00
1.063346346346346394e+00,6.036408630877348271e-05,6.556089579200094974e-05,7.507810329877340032e-03,-4.323181809131192210e+00
1.063348348348348349e+00,6.053586861191209505e-05,6.065421462696823549e-05,7.818704576152414945e-03,-4.307525701879018953e+00
1.063350350350350304e+00,6.052649534511517546e-05,5.599441452190800244e-05,8.128996803220125272e-03,-4.279465049319510328e+00
1.063352352352352259e+00,6.033367975931394140e-05,5.169487697677327485e-05,8.438589147639511540e-03,-4.236637877827416077e+00
1.063354354354354214e+00,5.995554069603875505e-05,4.789549149261222862e-05,8.747383380220180929e-03,-4.176867018429581080e+00
1.063356356356356391e+00,5.939060173016670998e-05,4.476118622875569712e-05,9.055280925279584475e-03,-4.098907545530281027e+00
1.063358358358358347e+00,5.863778883368196996e-05,4.246974592154152358e-05,9.362182890700199503e-03,-4.003591181505170127e+00
1.063360360360360302e+00,5.769642656454627673e-05,4.118370057315069515e-05,9.667990088686002556e-03,-3.894968516895812805e+00
1.063362362362362257e+00,5.656623281136677659e-05,4.100966689238511910e-05,9.972603057763769485e-03,-3.780489264556981865e+00
1.063364364364364212e+00,5.524731203473951294e-05,4.196360785946426537e-05,1.027592209367555152e-02,-3.669401539709030047e+00
1.063366366366366389e+00,5.374014708259349752e-05,4.396522628754943196e-05,1.057784726751387697e-02,-3.569970496179161401e+00
1.063368368368368344e+00,5.204558954389762123e-05,4.686574882170081984e-05,1.087827845272616029e-02,-3.487361135020046188e+00
1.063370370370370299e+00,5.016484865475145634e-05,5.048941440165031445e-05,1.117711535399902763e-02,-3.423308438961997879e+00
1.063372372372372254e+00,4.809947881530760841e-05,5.466656175572779237e-05,1.147425752481727804e-02,-3.377081310356513377e+00
1.063374374374374209e+00,4.585136573720157013e-05,5.925044469586355123e-05,1.176960439658646974e-02,-3.346697267550903465e+00
1.063376376376376387e+00,4.342271113313496178e-05,6.412135814853116853e-05,1.206305530383162267e-02,-3.329803976042349234e+00
1.063378378378378342e+00,4.081601617937757735e-05,6.918427486857881914e-05,1.235450951123566454e-02,-3.324152424521462645e+00
1.063380380380380297e+00,3.803406361643635320e-05,7.436435328507900165e-05,1.264386623429148912e-02,-3.327787686951755308e+00
1.063382382382382252e+00,3.507989860955427433e-05,7.960244526191685656e-05,1.293102466732792138e-02,-3.339089053119789874e+00
1.063384384384384429e+00,3.195680835167017742e-05,8.485135255385196158e-05,1.321588401077402816e-02,-3.356744397120525747e+00
1.063386386386386384e+00,2.866830053449468085e-05,9.007294433544572475e-05,1.349834349393191392e-02,-3.379702998283745874e+00
1.063388388388388339e+00,2.521808065948016460e-05,9.523602017499879140e-05,1.377830240034750957e-02,-3.407126665047267799e+00
1.063390390390390294e+00,2.161002821739246759e-05,1.003147537453136299e-04,1.405566009801482996e-02,-3.438346642966466415e+00
1.063392392392392249e+00,1.784817195041222781e-05,1.052875676394288661e-04,1.433031605896946219e-02,-3.472828175453467114e+00
1.063394394394394427e+00,1.393666396897357254e-05,1.101363220767249404e-04,1.460216989161738400e-02,-3.510142329689645013e+00
1.063396396396396382e+00,9.879753158343749221e-06,1.148457296797306620e-04,1.487112135914336712e-02,-3.549943962126257180e+00
1.063398398398398337e+00,5.681757489039840850e-06,1.194029338254145439e-04,1.513707041220507983e-02,-3.591954609735795056e+00
1.063400400400400292e+00,1.347035695299666464e-06,1.237972052560121726e-04,1.539991721177855558e-02,-3.635949224425308657e+00
1.063402402402402247e+00,3.120041833893042728e-06,1.280197252433595845e-04,1.565956215455392014e-02,-3.681745870398627218e+00
1.063404404404404424e+00,7.715122895021168817e-06,1.320634326914740667e-04,1.591590590142658024e-02,-3.729197691322685415e+00
1.063406406406406379e+00,1.243390382399656949e-05,1.359229188077630448e-04,1.616884940062634363e-02,-3.778186612066814831e+00
1.063408408408408334e+00,1.727216045875255395e-05,1.395943578870601756e-04,1.641829391499515997e-02,-3.828618367968306124e+00
1.063410410410410289e+00,2.222577954256064813e-05,1.430754657506025493e-04,1.666414104827020418e-02,-3.880418549739400369e+00
1.063412412412412467e+00,2.729079056121752107e-05,1.463654796800484476e-04,1.690629277130589400e-02,-3.933529425383538225e+00
1.063414414414414422e+00,3.246339787045593922e-05,1.494651553234994706e-04,1.714465144654015588e-02,-3.987907355257714226e+00
1.063416416416416377e+00,3.774001310484249584e-05,1.523767771975949835e-04,1.737911985484062727e-02,-4.043520658043052052e+00
1.063418418418418332e+00,4.311728778297174968e-05,1.551041801639871473e-04,1.760960122193097263e-02,-4.100347814813344982e+00
1.063420420420420287e+00,4.859214604764845372e-05,1.576527796325465514e-04,1.783599924396390632e-02,-4.158375919290786094e+00
1.063422422422422464e+00,5.416181737104474789e-05,1.600296088303798376e-04,1.805821811188436377e-02,-4.217599302384140714e+00
1.063424424424424419e+00,5.982386933545376845e-05,1.622433613323908319e-04,1.827616253864982471e-02,-4.278018268462556506e+00
1.063426426426426374e+00,6.557624030307268484e-05,1.643044371897517310e-04,1.848973778540122237e-02,-4.339637891206262310e+00
1.063428428428428330e+00,7.141727184563502993e-05,1.662249907834067878e-04,1.869884968523380375e-02,-4.402466823252990658e+00
1.063430430430430285e+00,7.734574106487985667e-05,1.680189783524816869e-04,1.890340467157691773e-02,-4.466516082636123208e+00
1.063432432432432462e+00,8.336089244770963349e-05,1.697022026448416444e-04,1.910330979910041319e-02,-4.531797779252507041e+00
1.063434434434434417e+00,8.946246954785933947e-05,1.712923519304835338e-04,1.929847277439536435e-02,-4.598323759335138483e+00
1.063436436436436372e+00,9.565074610223177560e-05,1.728090297603655367e-04,1.948880197751501689e-02,-4.666104142180329539e+00
1.063438438438438327e+00,1.019265566618722096e-04,1.742737716294649308e-04,1.967420648817830992e-02,-4.735145741999293278e+00
1.063440440440440282e+00,1.082913267866359970e-04,1.757100439721785289e-04,1.985459611224211010e-02,-4.805450373942309561e+00
1.063442442442442459e+00,1.147471024384143364e-04,1.771432204890385613e-04,2.002988140457242702e-02,-4.877013056590973505e+00
1.063444444444444414e+00,1.212965788676648469e-04,1.786005305758456329e-04,2.019997369505397225e-02,-4.949820144485302720e+00
1.063446446446446370e+00,1.279431286760965162e-04,1.801109745807635658e-04,2.036478511289240706e-02,-5.023847439277073335e+00
1.063448448448448325e+00,1.346908291720096986e-04,1.817052010238273544e-04,2.052422861199184462e-02,-5.099058352429781671e+00
1.063450450450450502e+00,1.415444888339081246e-04,1.834153418043204208e-04,2.067821799457704793e-02,-5.175402210933591540e+00
