domain_index,structure_z_um,structure_width_um
477,8.499902527987045687e+03,1.982253388056051335e+00
478,8.501884781375101738e+03,3.964506776113921660e+00
479,8.505849288151215660e+03,1.982253388056051335e+00
480,8.507831541539271711e+03,7.929013552226024331e+00
481,8.515760555091497736e+03,1.982253388056051335e+00
482,8.517742808479553787e+03,3.964506776113921660e+00
483,8.521707315255667709e+03,1.982253388056051335e+00
484,8.523689568643723760e+03,7.929013552226024331e+00
485,8.531618582195949784e+03,1.982253388056051335e+00
486,8.533600835584005836e+03,3.964506776113921660e+00
487,8.537565342360119757e+03,1.982253388056051335e+00
488,8.539547595748175809e+03,7.929013552226024331e+00
489,8.547476609300401833e+03,1.982253388056051335e+00
490,8.549458862688457884e+03,3.964506776113921660e+00
491,8.553423369464571806e+03,1.982253388056051335e+00
492,8.555405622852627857e+03,7.929013552226024331e+00
493,8.563334636404853882e+03,1.982253388056051335e+00
494,8.565316889792909933e+03,3.964506776113921660e+00
495,8.569281396569023855e+03,3.964506776112102671e+00
496,8.573245903345135957e+03,3.964506776113921660e+00
497,8.577210410121249879e+03,1.982253388056051335e+00
498,8.579192663509305930e+03,7.929013552226024331e+00
499,8.587121677061531955e+03,1.982253388056051335e+00
500,8.589103930449588006e+03,3.964506776113921660e+00
501,8.593068437225701928e+03,1.982253388056051335e+00
502,8.595050690613757979e+03,7.929013552226024331e+00
503,8.602979704165984003e+03,1.982253388056051335e+00
504,8.604961957554040055e+03,3.964506776113921660e+00
505,8.608926464330153976e+03,1.982253388056051335e+00
506,8.610908717718210028e+03,7.929013552226024331e+00
507,8.618837731270436052e+03,1.982253388056051335e+00
508,8.620819984658492103e+03,3.964506776113921660e+00
509,8.624784491434606025e+03,1.982253388056051335e+00
510,8.626766744822662076e+03,7.929013552226024331e+00
511,8.634695758374888101e+03,1.982253388056051335e+00
512,8.636678011762944152e+03,3.964506776113921660e+00
513,8.640642518539058074e+03,1.982253388056051335e+00
514,8.642624771927114125e+03,7.929013552226024331e+00
515,8.650553785479340149e+03,1.982253388056051335e+00
516,8.652536038867396201e+03,3.964506776113921660e+00
517,8.656500545643510122e+03,3.964506776112102671e+00
518,8.660465052419622225e+03,3.964506776113921660e+00
519,8.664429559195736147e+03,1.982253388056051335e+00
520,8.666411812583792198e+03,7.929013552226024331e+00
521,8.674340826136018222e+03,1.982253388056051335e+00
522,8.676323079524074274e+03,3.964506776113921660e+00
523,8.680287586300188195e+03,1.982253388056051335e+00
524,8.682269839688244247e+03,7.929013552226024331e+00
525,8.690198853240470271e+03,1.982253388056051335e+00
526,8.692181106628526322e+03,3.964506776113921660e+00
527,8.696145613404640244e+03,1.982253388056051335e+00
528,8.698127866792696295e+03,7.929013552226024331e+00
529,8.706056880344922320e+03,1.982253388056051335e+00
530,8.708039133732978371e+03,3.964506776113921660e+00
531,8.712003640509092293e+03,1.982253388056051335e+00
532,8.713985893897148344e+03,7.929013552226024331e+00
533,8.721914907449374368e+03,1.982253388056051335e+00
